Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
U2C,MCF8316A1VRGFR,TopLayer,RGF0040E-IPC_A,14.9820mm,8.8370mm,0,No Description Available,14.9820mm,8.8370mm,12.4790mm,11.5870mm
U2B,MCF8316A1VRGFR,TopLayer,RGF0040E-IPC_A,30.2240mm,8.5830mm,0,No Description Available,30.2240mm,8.5830mm,27.7210mm,11.3330mm
U2A,MCF8316A1VRGFR,TopLayer,RGF0040E-IPC_A,45.8470mm,8.8370mm,0,No Description Available,45.8470mm,8.8370mm,43.3440mm,11.5870mm
U1,TMUX131RMGR,TopLayer,FP-RMG0012A-MFG,25.5270mm,17.5260mm,0,"TMUX131RMGR Low capacitance, 3.6-V, 3: 1, 2-channel, powered-off protected switch with 1.8-V logic 12-WQFN -40 to 85",25.5270mm,17.5260mm,24.8770mm,17.7260mm
R10C,5.1k,BottomLayer,RES-0603,13.0810mm,15.6210mm,90,,13.0810mm,15.6210mm,13.0810mm,14.8710mm
R10B,5.1k,BottomLayer,RES-0603,28.4480mm,14.8590mm,90,,28.4480mm,14.8590mm,28.4480mm,14.1090mm
R10A,5.1k,BottomLayer,RES-0603,42.7990mm,14.9860mm,180,,42.7990mm,14.9860mm,43.5490mm,14.9860mm
R6C,10k,TopLayer,RES-0603,18.7960mm,4.3180mm,270,,18.7960mm,4.3180mm,18.7960mm,5.0680mm
R6B,10k,TopLayer,RES-0603,34.1630mm,4.4450mm,270,,34.1630mm,4.4450mm,34.1630mm,5.1950mm
R6A,10k,TopLayer,RES-0603,49.9110mm,4.1910mm,270,,49.9110mm,4.1910mm,49.9110mm,4.9410mm
R5C,22,BottomLayer,RES-0603,6.9850mm,15.4940mm,270,,6.9850mm,15.4940mm,6.9850mm,16.2440mm
R5B,22,BottomLayer,RES-0603,21.9710mm,14.8590mm,270,,21.9710mm,14.8590mm,21.9710mm,15.6090mm
